NMFS_DNA_ID,BOX_ID,BOX_POSITION,SAMPLE_ID,BATCH_ID,PROJECT_NAME,GENUS,SPECIES,LENGTH,WEIGHT,SEX,AGE,REPORTED_LIFE_STAGE,PHENOTYPE,TAG_NUMBER,COLLECTION_DATE,ESTIMATED_DATE,PICKER,PICK_DATE,LEFTOVER_SAMPLE,SAMPLE_COMMENTS,Marine::NMFS_DNA_ID,Marine::SPECIES_CODE,Marine::COMMON_NAME,Marine::SITE,Marine::STATE_M,Marine::COUNTY_M,Marine::LATITUDE_M,Marine::LONGITUDE_M,Marine::LOCATION_COMMENTS_M
R011767,R125,5D,A-073113-005,4143,NSF Rockfish Dispersal Project,Ophiodon,elongatus,650,,,,ADULT,,,07/31/2013,,DSW,08/19/2013,,Lingcod,R011767,OELO,lingcod,,,,36.5613,-121.9591333,
R011768,R125,5E,A-073113-006,4143,NSF Rockfish Dispersal Project,Sebastes,melanops,330,,,,ADULT,,,07/31/2013,,DSW,08/19/2013,,,R011768,SMEL,Black Rockfish,,,,36.5613,-121.9591333,
R011769,R125,5F,A-073113-007,4143,NSF Rockfish Dispersal Project,Sebastes,atrovirens,300,,,,ADULT,,,07/31/2013,,DSW,08/19/2013,,,R011769,SATR,Kelp Rockfish,,,,36.56325,-121.9595667,
R011770,R125,5G,A-073113-008,4143,NSF Rockfish Dispersal Project,Sebastes,melanops,275,,,,ADULT,,,07/31/2013,,DSW,08/19/2013,,,R011770,SMEL,Black Rockfish,,,,36.56325,-121.9595667,
R011771,R125,5H,A-073113-009,4143,NSF Rockfish Dispersal Project,Sebastes,melanops,285,,,,ADULT,,,07/31/2013,,DSW,08/19/2013,,,R011771,SMEL,Black Rockfish,,,,36.56325,-121.9595667,
R011772,R125,6A,A-073113-011,4143,NSF Rockfish Dispersal Project,Sebastes,atrovirens,320,,,,ADULT,,,07/31/2013,,DSW,08/19/2013,,,R011772,SATR,Kelp Rockfish,,,,36.56325,-121.9595667,
R011773,R125,6B,A-073113-012,4143,NSF Rockfish Dispersal Project,Sebastes,melanops,315,,,,ADULT,,,07/31/2013,,DSW,08/19/2013,,,R011773,SMEL,Black Rockfish,,,,36.56325,-121.9595667,
R011774,R125,6C,A-073113-013,4143,NSF Rockfish Dispersal Project,Sebastes,atrovirens,215,,,,ADULT,,,07/31/2013,,DSW,08/19/2013,,,R011774,SCAR,Gopher Rockfish,,,,36.56325,-121.9595667,
R011775,R125,6D,A-073113-014,4143,NSF Rockfish Dispersal Project,Sebastes,atrovirens,330,,,,ADULT,,,07/31/2013,,DSW,08/19/2013,,,R011775,SATR,Kelp Rockfish,,,,36.56325,-121.9595667,
R011776,R125,6E,A-073113-015,4143,NSF Rockfish Dispersal Project,Sebastes,melanops,285,,,,ADULT,,,07/31/2013,,DSW,08/19/2013,,,R011776,SMEL,Black Rockfish,,,,36.56325,-121.9595667,
R011777,R125,6F,A-073113-016,4143,NSF Rockfish Dispersal Project,Sebastes,melanops,330,,,,ADULT,,,07/31/2013,,DSW,08/19/2013,,,R011777,SMEL,Black Rockfish,,,,36.56325,-121.9595667,
R011778,R125,6G,A-073113-017,4143,NSF Rockfish Dispersal Project,Sebastes,atrovirens,340,,,,ADULT,,,07/31/2013,,DSW,08/19/2013,,,R011778,SATR,Kelp Rockfish,,,,36.56325,-121.9595667,
R011779,R125,6H,A-073113-018,4143,NSF Rockfish Dispersal Project,Sebastes,OYT,445,,,,ADULT,,,07/31/2013,,DSW,08/19/2013,,,R011779,OYT,Olive or Yellowtail rockfish,,,,36.56325,-121.9595667,
R011780,R125,7A,A-073113-019,4143,NSF Rockfish Dispersal Project,Sebastes,melanops,330,,,,ADULT,,,07/31/2013,,DSW,08/19/2013,,,R011780,SMEL,Black Rockfish,,,,36.56325,-121.9595667,
R011781,R125,7B,A-073113-020,4143,NSF Rockfish Dispersal Project,Sebastes,melanops,310,,,,ADULT,,,07/31/2013,,DSW,08/19/2013,,,R011781,SMEL,Black Rockfish,,,,36.56325,-121.9595667,
R011782,R125,7C,A-073113-021,4143,NSF Rockfish Dispersal Project,Sebastes,melanops,310,,,,ADULT,,,07/31/2013,,DSW,08/19/2013,,,R011782,SMEL ,Black Rockfish,,,,36.56325,-121.9595667,
R011783,R125,7D,A-073113-022,4143,NSF Rockfish Dispersal Project,Sebastes,atrovirens,290,,,,ADULT,,,07/31/2013,,DSW,08/19/2013,,,R011783,SATR,Kelp Rockfish,,,,36.56325,-121.9595667,
R011784,R125,7E,A-073113-023,4143,NSF Rockfish Dispersal Project,Sebastes,melanops,295,,,,ADULT,,,07/31/2013,,DSW,08/19/2013,,,R011784,SMEL,Black Rockfish,,,,36.56325,-121.9595667,
R011785,R125,7F,A-073113-024,4143,NSF Rockfish Dispersal Project,Sebastes,chrysomelas,290,,,,ADULT,,,07/31/2013,,DSW,08/19/2013,,,R011785,SCHR,black and yellow rockfish,,,,36.56318333,-121.9594833,
