NMFS_DNA_ID	BOX_ID	BOX_POSITION	SAMPLE_ID	BATCH_ID	PROJECT_NAME	GENUS	SPECIES	LENGTH	WEIGHT	SEX	AGE	REPORTED_LIFE_STAGE	PHENOTYPE	HATCHERY_MARK	TAG_NUMBER	COLLECTION_DATE	ESTIMATED_DATE	PICKER	PICK_DATE	LEFTOVER_SAMPLE	SAMPLE_COMMENTS	NMFS_DNA_ID	SPECIES_CODE	COMMON_NAME	LANDFALL_PORT	CRUISE	HAUL	SITE	STATE_M	COUNTY_M	LATITUDE_M	LONGITUDE_M	LOCATION_COMMENTS_M
R003965	R042	4E	F K24 larva 29	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003965	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003966	R042	4F	F K24 larva 30	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003966	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003967	R042	4G	F K24 larva 31	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003967	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003968	R042	4H	F K24 larva 32	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003968	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003969	R042	5A	F K24 larva 33	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003969	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003970	R042	5B	F K24 larva 34	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003970	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003971	R042	5C	F K24 larva 35	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003971	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003972	R042	5D	F K24 larva 36	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003972	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003973	R042	5E	F K24 larva 37	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003973	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003974	R042	5F	F K24 larva 38	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003974	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003975	R042	5G	F K24 larva 39	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003975	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003976	R042	5H	F K24 larva 40	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003976	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003977	R042	6A	F K24 larva 41	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003977	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003978	R042	6B	F K24 larva 42	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003978	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003979	R042	6C	F K24 larva 43	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003979	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003980	R042	6D	F K24 larva 44	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003980	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003981	R042	6E	F K24 larva 45	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003981	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003982	R042	6F	F K24 larva 46	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003982	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003983	R042	6G	F K24 larva 47	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003983	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003984	R042	6H	F K24 larva 48	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003984	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003985	R042	7A	F K24 larva 49	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003985	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003986	R042	7B	F K24 larva 50	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003986	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003987	R042	7C	F K24 larva 51	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003987	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003988	R042	7D	F K24 larva 52	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003988	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003989	R042	7E	F K24 larva 53	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003989	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003990	R042	7F	F K24 larva 54	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003990	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003991	R042	7G	F K24 larva 55	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003991	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003992	R042	7H	F K24 larva 56	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003992	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003993	R042	8A	F K24 larva 57	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003993	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003994	R042	8B	F K24 larva 58	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003994	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003995	R042	8C	F K24 larva 59	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003995	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003996	R042	8D	F K24 larva 60	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003996	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003997	R042	8E	F K24 larva 61	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003997	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003998	R042	8F	F K24 larva 62	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003998	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003999	R042	8G	F K24 larva 63	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003999	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004000	R042	8H	F K24 larva 64	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R004000	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004001	R042	9A	F K24 larva 65	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R004001	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004002	R042	9B	F K24 larva 66	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R004002	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004003	R042	9C	F K24 larva 67	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R004003	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004004	R042	9D	F K24 larva 68	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R004004	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004005	R042	9E	F K24 larva 69	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R004005	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
